Parcel_ID,O_zone,D_zone,DepotNumber,CEP,Network,Type
105639,6955,2668,1.0,PostNL,conventional,consolidated
105735,5514,4604,5.0,GLS,conventional,consolidated
105759,5514,4604,5.0,GLS,conventional,consolidated
105856,4178,2668,1.0,PostNL,conventional,consolidated
105897,1044,2662,7.0,DHL,conventional,consolidated
105917,6767,1044,7.0,DHL,conventional,consolidated
105966,1044,2662,7.0,DHL,conventional,consolidated
106096,5514,4604,5.0,GLS,conventional,consolidated
106119,7399,2668,1.0,PostNL,conventional,consolidated
106150,5501,2662,7.0,DHL,conventional,consolidated
106151,1008,2662,7.0,DHL,conventional,consolidated
106153,5501,2662,7.0,DHL,conventional,consolidated
106222,1044,2662,7.0,DHL,conventional,consolidated
106294,4178,2668,1.0,PostNL,conventional,consolidated
106299,6955,2668,1.0,PostNL,conventional,consolidated
106382,7399,2668,1.0,PostNL,conventional,consolidated
106406,6767,2662,7.0,DHL,conventional,consolidated
106473,5514,4604,5.0,GLS,conventional,consolidated
106482,5501,2662,7.0,DHL,conventional,consolidated
106487,4137,4604,15.0,FedEx,conventional,consolidated
106523,5501,2662,7.0,DHL,conventional,consolidated
106527,1044,2662,7.0,DHL,conventional,consolidated
106530,1044,2662,7.0,DHL,conventional,consolidated
106531,1044,2662,7.0,DHL,conventional,consolidated
106536,7241,2662,7.0,DHL,conventional,consolidated
106541,5501,2662,7.0,DHL,conventional,consolidated
106608,6955,2668,1.0,PostNL,conventional,consolidated
106684,5501,2662,7.0,DHL,conventional,consolidated
106690,5501,2662,7.0,DHL,conventional,consolidated
106712,5514,4604,5.0,GLS,conventional,consolidated
106747,4178,2668,1.0,PostNL,conventional,consolidated
106798,5501,2662,7.0,DHL,conventional,consolidated
106919,1044,2662,7.0,DHL,conventional,consolidated
106925,1044,2662,7.0,DHL,conventional,consolidated
106933,5501,2662,7.0,DHL,conventional,consolidated
106954,4137,4604,15.0,FedEx,conventional,consolidated
107029,4178,2668,1.0,PostNL,conventional,consolidated
107064,1008,2662,7.0,DHL,conventional,consolidated
107070,5501,2662,7.0,DHL,conventional,consolidated
107083,7399,2668,1.0,PostNL,conventional,consolidated
107103,4178,2668,1.0,PostNL,conventional,consolidated
107214,1044,2662,7.0,DHL,conventional,consolidated
107227,5501,2662,7.0,DHL,conventional,consolidated
107245,5514,4604,5.0,GLS,conventional,consolidated
107250,4178,2668,1.0,PostNL,conventional,consolidated
107388,5514,4604,5.0,GLS,conventional,consolidated
107531,6955,2668,1.0,PostNL,conventional,consolidated
107560,7366,4604,5.0,GLS,conventional,consolidated
107581,5501,2662,7.0,DHL,conventional,consolidated
107637,5501,1044,7.0,DHL,conventional,consolidated
107639,5501,1044,7.0,DHL,conventional,consolidated
107684,5514,4604,5.0,GLS,conventional,consolidated
107754,6955,2668,1.0,PostNL,conventional,consolidated
107818,7399,2668,1.0,PostNL,conventional,consolidated
107852,5501,1044,7.0,DHL,conventional,consolidated
