Parcel_ID,O_zone,D_zone,DepotNumber,CEP,Task
94100,2668,2341,1.0,PostNL,Delivery
94104,2668,2341,1.0,PostNL,Delivery
94132,2668,2341,1.0,PostNL,Delivery
94151,2668,2341,1.0,PostNL,Delivery
94160,2668,2341,1.0,PostNL,Delivery
94164,2668,2341,1.0,PostNL,Delivery
94208,2668,2341,1.0,PostNL,Delivery
94209,2668,2341,1.0,PostNL,Delivery
94219,2668,2341,1.0,PostNL,Delivery
94228,2668,2341,1.0,PostNL,Delivery
94232,2668,2341,1.0,PostNL,Delivery
94250,2668,2341,1.0,PostNL,Delivery
94255,2668,2341,1.0,PostNL,Delivery
94276,2668,2341,1.0,PostNL,Delivery
94278,2668,2341,1.0,PostNL,Delivery
94286,2668,2341,1.0,PostNL,Delivery
94314,2668,2341,1.0,PostNL,Delivery
94336,4604,2341,14.0,DPD,Delivery
94342,4604,2341,14.0,DPD,Delivery
94350,4604,2341,14.0,DPD,Delivery
94370,1044,2342,7.0,DHL,Delivery
94372,1044,2342,7.0,DHL,Delivery
94381,1044,2342,7.0,DHL,Delivery
94388,1044,2342,7.0,DHL,Delivery
94397,4604,2342,14.0,DPD,Delivery
94407,4604,2342,14.0,DPD,Delivery
94410,4604,2342,14.0,DPD,Delivery
94433,2668,2342,1.0,PostNL,Delivery
94463,2668,2342,1.0,PostNL,Delivery
94484,2668,2342,1.0,PostNL,Delivery
94500,4604,2342,14.0,DPD,Delivery
94507,4604,2342,14.0,DPD,Delivery
94517,1044,2343,7.0,DHL,Delivery
94543,1044,2343,7.0,DHL,Delivery
94558,4604,2343,14.0,DPD,Delivery
94562,4604,2343,14.0,DPD,Delivery
94569,4604,2343,14.0,DPD,Delivery
94582,2668,2343,1.0,PostNL,Delivery
94594,2668,2343,1.0,PostNL,Delivery
94615,2668,2343,1.0,PostNL,Delivery
94617,2668,2343,1.0,PostNL,Delivery
94624,2668,2343,1.0,PostNL,Delivery
94638,2668,2343,1.0,PostNL,Delivery
94645,2668,2343,1.0,PostNL,Delivery
94646,2668,2343,1.0,PostNL,Delivery
94670,1044,2344,7.0,DHL,Delivery
94685,2668,2344,1.0,PostNL,Delivery
94699,2662,2345,10.0,DHL,Delivery
94705,2662,2345,10.0,DHL,Delivery
94720,2662,2345,10.0,DHL,Delivery
94742,2668,2345,1.0,PostNL,Delivery
94753,2668,2345,1.0,PostNL,Delivery
94763,2668,2345,1.0,PostNL,Delivery
94767,2668,2345,1.0,PostNL,Delivery
94772,2668,2345,1.0,PostNL,Delivery
94780,2668,2345,1.0,PostNL,Delivery
94785,2668,2345,1.0,PostNL,Delivery
